1464329404;1;0;1
1464502204;1;0;1
1464588604;1;0;1
1464675004;1;0;1
1464761406;1;0;1
1464847804;1;0;1
1464934205;0;1;1
1465020605;0;1;1
1465107004;0;1;1
1465193404;0;1;1
1465279804;3;1;4
1465366204;9;1;10
1465452604;9;1;10
1465539004;9;1;10
1465625405;9;1;10
1465711806;9;1;10
1465798205;9;1;10
1465884604;9;1;10
1465971004;3;7;10
1466057404;3;7;10
1466316604;3;7;10
1466403005;3;7;10
1466489404;3;7;10
1466575804;3;7;10
1466662204;3;7;10
1466748604;3;7;10
1466835005;3;7;10
1466921405;3;7;10
1467007804;3;7;10
1467180604;3;7;10
1467267005;3;7;10
1467353404;3;7;10
1467439804;3;7;10
1467526206;3;7;10
1467871804;3;7;10
1467958204;3;7;10
1468131004;3;7;10
1468217404;3;7;10
1468303804;3;7;10
1468390204;3;7;10
1468476604;3;7;10
1468563004;3;7;10
1468649405;3;7;10
1468735804;3;7;10
1468822205;3;7;10
1468908604;3;7;10
1468995004;3;7;10
1469081404;3;7;10
1469167804;3;7;10
1469254205;3;7;10
